Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2946834976,MNQU6,08/04/2026 23:22:16 +08:00,08/04/2026 23:27:14 +08:00,29658.250000000,29644.250000000,1.44000,56.000000000,2,Short,08/04/2026 00:00:00 -05:00,00:04:57.3209790,1.00000
2946841128,MNQU6,08/04/2026 23:24:39 +08:00,08/04/2026 23:27:44 +08:00,29659.000000000,29642.000000000,1.44000,68.000000000,2,Short,08/04/2026 00:00:00 -05:00,00:03:05.0588800,1.00000
2946959748,MNQU6,08/04/2026 23:34:26 +08:00,08/04/2026 23:44:41 +08:00,29625.750000000,29676.750000000,1.44000,-204.000000000,2,Short,08/04/2026 00:00:00 -05:00,00:10:14.9883530,1.00000
2946959752,MNQU6,08/04/2026 23:38:31 +08:00,08/04/2026 23:44:41 +08:00,29659.500000000,29676.750000000,0.72000,-34.500000000,1,Short,08/04/2026 00:00:00 -05:00,00:06:10.1529040,0.50000
2947092241,MNQU6,08/04/2026 23:44:50 +08:00,08/05/2026 00:08:33 +08:00,29678.000000000,29683.250000000,0.72000,-10.500000000,1,Short,08/04/2026 00:00:00 -05:00,00:23:42.5667160,0.50000
2947060560,MNQU6,08/04/2026 23:44:50 +08:00,08/05/2026 00:01:14 +08:00,29678.000000000,29689.000000000,0.72000,-22.000000000,1,Short,08/04/2026 00:00:00 -05:00,00:16:23.5895590,0.50000
2947026756,MNQU6,08/04/2026 23:44:50 +08:00,08/04/2026 23:55:28 +08:00,29678.000000000,29672.500000000,0.72000,11.000000000,1,Short,08/04/2026 00:00:00 -05:00,00:10:37.7963530,0.50000
2947155794,MNQU6,08/04/2026 23:45:12 +08:00,08/05/2026 00:19:34 +08:00,29677.250000000,29704.500000000,0.72000,-54.500000000,1,Short,08/04/2026 00:00:00 -05:00,00:34:22.1585460,0.50000
2947155799,MNQU6,08/05/2026 00:01:02 +08:00,08/05/2026 00:19:34 +08:00,29698.500000000,29704.500000000,0.72000,-12.000000000,1,Short,08/04/2026 00:00:00 -05:00,00:18:32.2288110,0.50000
2947155804,MNQU6,08/05/2026 00:13:29 +08:00,08/05/2026 00:19:34 +08:00,29674.250000000,29704.500000000,0.72000,-60.500000000,1,Short,08/04/2026 00:00:00 -05:00,00:06:05.3311390,0.50000
